txn_id,event_time,settlement_time,amount,currency,status,country,mcc,card_number,merchant_id,auth_code,settlement_date
TXN00000001,2026-01-02 18:23:06.423687,2026-01-03 01:23:06.423687,3.94,GBP,PENDING,US,5999,5123458928533902,MERCH7015,AUTH614953,
TXN00000002,2026-01-02 16:33:51.423687,2026-01-05 11:33:51.423687,89.66,USD,SETTLED,GB,5812,5432103132811183,MERCH9957,AUTH986102,
TXN00000003,2026-01-02 16:48:33.423687,2026-01-03 11:48:33.423687,30.71,USD,SETTLED,CA,5999,5432102109180082,MERCH9708,AUTH657171,2026-01-03
TXN00000004,2026-01-02 16:45:12.423687,2026-01-04 16:45:12.423687,2.1,GBP,SETTLED,GB,7011,5123456489418965,MERCH9775,AUTH544688,2026-01-04
TXN00000005,2026-01-02 17:12:48.423687,2026-01-02 23:12:48.423687,8.43,GBP,SETTLED,ZZ,5999,4111113640677490,MERCH1513,AUTH983773,2026-01-02
TXN00000006,2026-01-02 17:43:21.423687,2026-01-03 11:43:21.423687,239.17,XXX,SETTLED,AU,5541,5432101996652300,MERCH2639,AUTH124127,2026-01-03
TXN00000007,2026-01-02 17:12:20.423687,2026-01-03 12:12:20.423687,1.0,USD,SETTLED,US,5541,3782826378474631,MERCH4008,AUTH631250,2026-01-03
TXN00000008,2026-01-02 18:02:34.423687,2026-01-03 16:02:34.423687,10.56,EUR,SETTLED,US,5999,4242429821846428,MERCH2644,AUTH923070,2026-01-03
TXN00000009,2026-01-02 17:00:14.423687,2026-01-04 21:00:14.423687,134.14,USD,SETTLED,GB,5541,4242426996784432,MERCH8015,AUTH704021,2026-01-04
TXN00000010,2026-01-02 16:49:07.423687,2026-01-03 15:49:07.423687,5.47,USD,PENDING,AU,5999,4111117163889757,MERCH7065,AUTH219178,
TXN00000011,2026-01-02 16:26:59.423687,2026-01-05 16:26:59.423687,7.25,USD,FAILED,DE,5812,4242428470908079,MERCH8352,AUTH405933,
TXN00000012,2026-01-02 17:26:19.423687,2026-01-04 01:26:19.423687,17.43,USD,SETTLED,US,7011,4111115863190581,MERCH9302,AUTH196866,2026-01-04
TXN00000013,2026-01-02 18:12:23.423687,2026-01-05 12:12:23.423687,188.12,JPY,SETTLED,AU,5411,5123459764151557,MERCH4589,AUTH108269,2026-01-05
TXN00000014,2026-01-02 16:38:43.423687,2026-01-03 16:38:43.423687,7.7,JPY,SETTLED,GB,5812,9999991600738195,MERCH7804,AUTH952958,2026-01-03
TXN00000015,2026-01-02 18:26:43.423687,2026-01-05 09:26:43.423687,10.32,GBP,SETTLED,ZZ,7011,4242424173209237,MERCH6682,AUTH859689,2026-01-05
TXN00000016,2026-01-02 17:48:21.423687,2026-01-05 10:48:21.423687,10.47,USD,SETTLED,AU,5812,5123454174711613,MERCH3067,AUTH205725,2026-01-05
TXN00000017,2026-01-02 17:18:19.423687,2026-01-02 18:18:19.423687,549.44,USD,PENDING,US,5541,3782822669421406,MERCH5779,AUTH147626,
TXN00000018,2026-01-02 16:36:18.423687,2026-01-05 05:36:18.423687,533.88,CAD,SETTLED,GB,5541,4242424196259614,MERCH9995,AUTH603780,2026-01-05
TXN00000019,2026-01-02 16:27:40.423687,2026-01-03 12:27:40.423687,90.57,EUR,SETTLED,AU,5812,5432106614380049,MERCH2550,AUTH803376,2026-01-03
TXN00000020,2026-01-02 17:09:50.423687,2026-01-04 05:09:50.423687,35.85,EUR,SETTLED,AU,5411,4242421857621164,MERCH7607,AUTH908161,2026-01-04
TXN00000021,2026-01-02 18:06:42.423687,2026-01-04 15:06:42.423687,60.71,USD,FAILED,ZZ,5541,4242429002623640,MERCH9999,AUTH356266,
TXN00000022,2026-01-02 17:27:58.423687,2026-01-05 10:27:58.423687,187.94,EUR,SETTLED,AU,5812,4111119006387735,MERCH7865,AUTH450373,2026-01-05
TXN00000023,2026-01-02 16:40:41.423687,2026-01-05 01:40:41.423687,4.93,GBP,SETTLED,ZZ,5411,5432101453871039,MERCH4610,AUTH801811,2026-01-05
TXN00000024,2026-01-02 16:32:45.423687,2026-01-03 21:32:45.423687,117.18,USD,SETTLED,GB,7011,5123459940535491,MERCH3011,AUTH215248,2026-01-03
TXN00000025,2026-01-02 16:39:25.423687,2026-01-03 01:39:25.423687,3.06,USD,SETTLED,GB,5812,3782829129560125,MERCH7181,AUTH246007,2026-01-03
TXN00000026,2026-01-02 17:57:51.423687,2026-01-05 00:57:51.423687,7.72,USD,SETTLED,US,5411,4242423663985468,MERCH7319,AUTH412655,2026-01-05
TXN00000027,2026-01-02 16:46:10.423687,2026-01-05 05:46:10.423687,78.31,CAD,SETTLED,US,7011,5123456431742250,MERCH3030,AUTH158360,2026-01-05
TXN00000028,2026-01-02 16:44:00.423687,2026-01-04 19:44:00.423687,2.36,USD,PENDING,US,5999,4242427389637417,MERCH5364,AUTH469047,
TXN00000029,2026-01-02 18:14:38.423687,2026-01-04 11:14:38.423687,16.28,USD,SETTLED,DE,5411,4242428443414222,MERCH5164,AUTH748963,2026-01-04
TXN00000030,2026-01-02 16:29:39.423687,2026-01-02 23:29:39.423687,5.51,JPY,SETTLED,US,5411,4242425520446843,MERCH1983,AUTH527611,2026-01-02
TXN00000031,2026-01-02 17:06:36.423687,2026-01-05 00:06:36.423687,13.69,JPY,SETTLED,AU,5541,4242428975567398,MERCH4993,AUTH621753,2026-01-05
TXN00000032,2026-01-02 17:25:33.423687,2026-01-04 23:25:33.423687,1.0,EUR,SETTLED,US,5541,4111113687116176,MERCH5932,AUTH613965,2026-01-04
TXN00000033,2026-01-02 17:45:03.423687,2026-01-03 05:45:03.423687,1.41,JPY,SETTLED,GB,7011,5123454525708779,MERCH7234,AUTH651085,2026-01-03
TXN00000034,2026-01-02 17:31:52.423687,2026-01-04 11:31:52.423687,7.03,USD,SETTLED,GB,7011,4111113881238324,MERCH3107,AUTH106285,2026-01-04
TXN00000035,2026-01-02 17:02:59.423687,2026-01-05 02:02:59.423687,80.74,USD,PENDING,US,5541,4242421309854478,MERCH5350,AUTH967899,
TXN00000036,2026-01-02 17:30:50.423687,2026-01-05 05:30:50.423687,15.48,USD,SETTLED,US,7011,5432108170755877,MERCH6262,AUTH867797,2026-01-05
TXN00000037,2026-01-02 18:21:09.423687,2026-01-02 20:21:09.423687,20.17,EUR,SETTLED,ZZ,5999,4242423630408960,MERCH4776,AUTH823004,2026-01-02
TXN00000038,2026-01-02 16:31:47.423687,2026-01-03 07:31:47.423687,56.39,JPY,SETTLED,GB,7011,5123459514306337,MERCH5099,AUTH573046,
TXN00000039,2026-01-02 18:11:43.423687,2026-01-02 23:11:43.423687,5.37,EUR,SETTLED,AU,5999,4242427272275889,MERCH5896,AUTH915308,2026-01-02
TXN00000389,2026-01-02 17:08:25.423687,2026-01-04 15:08:25.423687,30.74,USD,SETTLED,CA,5411,4242423842318076,MERCH8141,AUTH823288,2026-01-04
TXN00000041,2026-01-02 17:13:39.423687,2026-01-04 16:13:39.423687,6.0,GBP,SETTLED,DE,5411,4242421022173210,MERCH9252,AUTH462671,2026-01-04
TXN00000042,2026-01-02 17:37:59.423687,2026-01-04 11:37:59.423687,1.5,GBP,SETTLED,US,7011,3782824431724583,MERCH2929,AUTH822642,2026-01-04
TXN00000043,2026-01-02 18:16:11.423687,2026-01-04 01:16:11.423687,11.17,USD,PENDING,US,ABCD,5123458207883713,MERCH8036,AUTH403669,
TXN00000044,2026-01-02 17:32:42.423687,2026-01-05 16:32:42.423687,47.5,JPY,SETTLED,US,5541,5432106558058167,MERCH8680,AUTH333943,2026-01-05
TXN00000045,2026-01-02 16:55:00.423687,2026-01-05 16:55:00.423687,33.38,CAD,SETTLED,AU,5812,5123453750302177,MERCH7132,AUTH724927,2026-01-05
TXN00000046,2026-01-02 18:18:53.423687,2026-01-05 07:18:53.423687,19.73,USD,SETTLED,GB,7011,5432101838671653,MERCH8176,AUTH903582,2026-01-05
TXN00000047,2026-01-02 17:49:54.423687,2026-01-04 13:49:54.423687,726.72,USD,PENDING,CA,5999,4242429368410939,MERCH1321,AUTH443605,
TXN00000048,2026-01-02 17:53:58.423687,2026-01-03 23:53:58.423687,37.31,EUR,SETTLED,US,7011,4111115378625377,MERCH4235,AUTH528132,2026-01-03
TXN00000049,2026-01-02 17:38:43.423687,2026-01-02 22:38:43.423687,87.19,XXX,SETTLED,AU,5999,5123458615427430,MERCH4732,AUTH668421,2026-01-02
TXN00000050,2026-01-02 17:43:52.423687,2026-01-03 17:43:52.423687,576.64,GBP,FAILED,GB,5999,3782826814964500,MERCH9537,AUTH273852,
TXN00000051,2026-01-02 18:17:16.423687,2026-01-03 11:17:16.423687,2.88,GBP,SETTLED,US,5999,3782825871565005,MERCH2457,AUTH225345,2026-01-03
TXN00000052,2026-01-02 17:09:48.423687,2026-01-05 03:09:48.423687,4.23,GBP,PENDING,GB,5999,3782827005812081,MERCH6669,AUTH772559,
TXN00000053,2026-01-02 16:28:28.423687,2026-01-03 18:28:28.423687,274.67,XXX,SETTLED,GB,5541,4111115247454442,MERCH4787,AUTH564730,2026-01-03
TXN00000275,2026-01-02 17:21:08.423687,2026-01-05 06:21:08.423687,6.07,JPY,SETTLED,US,7011,5432107841440495,MERCH3763,AUTH495393,2026-01-05
TXN00000055,2026-01-02 18:11:47.423687,2026-01-05 01:11:47.423687,21.0,USD,SETTLED,CA,5541,4111114802483123,MERCH8112,AUTH740030,2026-01-05
TXN00000056,2026-01-02 17:54:59.423687,2026-01-02 19:54:59.423687,99.88,USD,SETTLED,GB,5541,5123459276165779,MERCH1811,AUTH558027,2026-01-02
TXN00000057,2026-01-02 17:36:46.423687,2026-01-04 14:36:46.423687,76.41,USD,SETTLED,AU,999,5123455300713000,MERCH8681,AUTH804722,2026-01-04
TXN00000058,2026-01-02 17:26:04.423687,2026-01-03 10:26:04.423687,279.31,USD,SETTLED,AU,5999,3782821760122721,MERCH7572,AUTH213255,2026-01-03
TXN00000059,2026-01-02 18:00:16.423687,2026-01-04 05:00:16.423687,189.33,USD,SETTLED,US,5541,4242427888812186,MERCH2606,AUTH212869,2026-01-04
TXN00000060,2026-01-02 17:40:17.423687,2026-01-04 15:40:17.423687,99.89,CAD,SETTLED,CA,5999,5123459863688348,MERCH2137,AUTH231046,2026-01-04
TXN00000061,2026-01-02 17:53:55.423687,2026-01-05 15:53:55.423687,6.3,XXX,SETTLED,CA,5411,4242424524137967,MERCH3813,AUTH900123,2026-01-05
TXN00000062,2026-01-02 18:15:30.423687,2026-01-04 10:15:30.423687,66.17,USD,PENDING,US,5541,4242424065711203,MERCH2429,AUTH523906,
TXN00000063,2026-01-02 17:57:47.423687,2026-01-03 03:57:47.423687,32.18,USD,SETTLED,AU,5541,3782822838939066,MERCH7095,AUTH939655,2026-01-03
TXN00000064,2026-01-02 17:48:12.423687,2026-01-04 14:48:12.423687,2.75,JPY,SETTLED,AU,5812,5432102721295859,MERCH8464,AUTH926270,2026-01-04
TXN00000065,2026-01-02 18:20:34.423687,2026-01-03 21:20:34.423687,168.33,EUR,SETTLED,US,5999,4242427786494219,MERCH4104,AUTH886949,2026-01-03
TXN00000066,2026-01-02 17:33:08.423687,2026-01-03 00:33:08.423687,67.41,USD,SETTLED,AU,5411,5123453701352811,MERCH9184,AUTH987080,2026-01-03
TXN00000067,2026-01-02 17:37:50.423687,2026-01-03 09:37:50.423687,21.5,EUR,SETTLED,CA,5411,5123454037932524,MERCH1734,AUTH751470,2026-01-03
TXN00000068,2026-01-02 17:58:02.423687,2026-01-05 17:58:02.423687,14.16,USD,SETTLED,AU,5999,5123459603116662,MERCH9017,AUTH602532,2026-01-05
TXN00000069,2026-01-02 17:24:02.423687,2026-01-03 10:24:02.423687,3.33,XXX,SETTLED,AU,7011,5432103234063451,MERCH9510,AUTH954115,2026-01-03
TXN00000070,2026-01-02 17:17:54.423687,2026-01-05 12:17:54.423687,27.09,USD,SETTLED,US,5411,5432104109639770,MERCH1589,AUTH799073,2026-01-05
TXN00000071,2026-01-02 17:36:24.423687,2026-01-02 19:36:24.423687,40.55,JPY,SETTLED,US,5541,5432109990849788,MERCH9373,AUTH474007,2026-01-02
TXN00000072,2026-01-02 16:31:06.423687,2026-01-05 07:31:06.423687,5.77,XXX,SETTLED,CA,5411,5432108044215836,MERCH7226,AUTH863601,2026-01-05
TXN00000073,2026-01-02 18:22:27.423687,2026-01-05 12:22:27.423687,114.81,GBP,SETTLED,US,5999,5432108876560609,MERCH2988,AUTH421270,2026-01-05
TXN00000074,2026-01-02 18:09:44.423687,2026-01-05 00:09:44.423687,3.87,USD,SETTLED,US,5812,4111118648069114,MERCH5019,AUTH554931,2026-01-05
TXN00000075,2026-01-02 17:54:53.423687,2026-01-04 21:54:53.423687,1.0,EUR,FAILED,US,5999,4111111231221648,MERCH5463,AUTH607083,
TXN00000076,2026-01-02 16:51:32.423687,2026-01-05 08:51:32.423687,95.54,USD,SETTLED,AU,5999,5432105599498619,MERCH2706,AUTH387080,2026-01-05
TXN00000077,2026-01-02 18:05:51.423687,2026-01-03 03:05:51.423687,10.97,JPY,SETTLED,GB,5411,3782823920366809,MERCH3492,AUTH512182,2026-01-03
TXN00000078,2026-01-02 18:18:44.423687,2026-01-03 19:18:44.423687,16.63,GBP,SETTLED,AU,5999,4242428255916796,MERCH1051,,2026-01-03
TXN00000079,2026-01-02 16:38:02.423687,2026-01-03 16:38:02.423687,5.72,CAD,SETTLED,GB,5411,4242422624311344,MERCH1058,,2026-01-03
TXN00000080,2026-01-02 17:33:14.423687,2026-01-04 14:33:14.423687,1.81,USD,SETTLED,US,5541,5432102100012344,MERCH7946,AUTH827595,2026-01-04
TXN00000081,2026-01-02 17:56:36.423687,2026-01-03 23:56:36.423687,132.01,EUR,SETTLED,US,5999,3782829540089253,MERCH1955,AUTH197592,2026-01-03
TXN00000082,2026-01-02 17:02:31.423687,2026-01-04 12:02:31.423687,7.15,EUR,PENDING,AU,5999,5123454005891331,MERCH4409,AUTH611607,
TXN00000083,2026-01-02 16:49:59.423687,2026-01-04 22:49:59.423687,242.6,USD,SETTLED,US,5999,5432108117996047,MERCH7637,AUTH244958,2026-01-04
TXN00000084,2026-01-02 17:12:29.423687,2026-01-05 08:12:29.423687,67.42,GBP,SETTLED,DE,7011,5432107671158026,MERCH7208,AUTH665303,2026-01-05
TXN00000085,2026-01-02 17:12:46.423687,2026-01-03 08:12:46.423687,12.53,EUR,SETTLED,US,5812,4242421871429949,MERCH2265,AUTH821690,2026-01-03
TXN00000086,2026-01-02 17:42:26.423687,2026-01-04 20:42:26.423687,3.94,USD,SETTLED,GB,5812,5432109230628517,MERCH2817,AUTH622343,2026-01-04
TXN00000087,2026-01-02 17:20:10.423687,2026-01-03 03:20:10.423687,6.69,USD,SETTLED,CA,5541,5432107542520437,MERCH3557,AUTH380484,2026-01-03
TXN00000088,2026-01-02 16:36:46.423687,2026-01-04 14:36:46.423687,3.26,GBP,SETTLED,AU,5999,4242428057613396,MERCH6224,AUTH998340,2026-01-04
TXN00000089,2026-01-02 18:05:29.423687,2026-01-05 12:05:29.423687,459.74,USD,SETTLED,AU,5999,5123452427419252,MERCH8900,AUTH516721,2026-01-05
TXN00000788,2026-01-02 17:29:07.423687,2026-01-04 18:29:07.423687,25.7,XXX,SETTLED,AU,5411,4242426887351038,MERCH3859,AUTH109063,2026-01-04
TXN00000091,2026-01-02 17:19:41.423687,2026-01-03 07:19:41.423687,112.77,CAD,SETTLED,GB,5411,5123452008162776,MERCH6673,AUTH535019,2026-01-03
TXN00000092,2026-01-02 17:45:01.423687,2026-01-03 19:45:01.423687,3.0,USD,SETTLED,US,5812,4242422191435584,MERCH8852,AUTH581314,2026-01-03
TXN00000093,2026-01-02 18:13:05.423687,2026-01-04 03:13:05.423687,26.35,JPY,SETTLED,US,5541,3782828517486272,MERCH8085,AUTH591926,
TXN00000094,2026-01-02 17:12:39.423687,2026-01-03 05:12:39.423687,117.54,GBP,SETTLED,ZZ,7011,5123452968460330,MERCH8939,AUTH916353,2026-01-03
TXN00000095,2026-01-02 16:28:59.423687,2026-01-03 08:28:59.423687,12.15,USD,SETTLED,GB,5812,5432103988556011,MERCH2506,AUTH312713,2026-01-03
TXN00000096,2026-01-02 16:52:34.423687,2026-01-04 16:52:34.423687,94.32,XXX,SETTLED,ZZ,7011,4242429927440940,MERCH1747,AUTH903346,2026-01-04
TXN00000097,2026-01-02 17:46:48.423687,2026-01-03 16:46:48.423687,3.95,JPY,SETTLED,GB,5812,3782824045474821,MERCH8382,AUTH934663,2026-01-03
TXN00000098,2026-01-02 16:38:48.423687,2026-01-03 17:38:48.423687,2.6,JPY,SETTLED,US,5999,3782822958154212,MERCH7045,AUTH728002,2026-01-03
TXN00000099,2026-01-02 18:20:18.423687,2026-01-03 05:20:18.423687,35.48,CAD,SETTLED,CA,5411,5432107817326432,MERCH7353,AUTH308825,2026-01-03
TXN00000100,2026-01-02 17:52:33.423687,2026-01-03 02:52:33.423687,11.37,CAD,FAILED,ZZ,7011,3782823320057651,MERCH1510,,
TXN00000101,2026-01-02 17:16:23.423687,2026-01-05 00:16:23.423687,52.62,USD,SETTLED,AU,7011,3782825164380748,MERCH8164,AUTH348071,2026-01-05
TXN00000102,2026-01-02 16:28:31.423687,2026-01-05 02:28:31.423687,1.03,CAD,SETTLED,GB,7011,8888886733301483,MERCH6630,AUTH569549,2026-01-05
TXN00000103,2026-01-02 17:14:48.423687,2026-01-05 01:14:48.423687,58.46,USD,SETTLED,US,7011,3782822439575024,MERCH2301,AUTH417194,
